postmortem_file,chunk_count,mean_high_drift_probability,median_high_drift_probability,max_high_drift_probability,min_high_drift_probability,high_drift_chunk_share,severe_drift_chunk_share,likely_postmortem_drift_level
rust_dns_2023.txt,5,0.5492366245836688,0.5526348376545058,0.5937122868897414,0.5079370203599539,1.0,0.0,mixed
anthropic_2026_claude_code.txt,16,0.516063958557755,0.5190631442162301,0.5474350779395487,0.4738216024395366,0.75,0.0,mixed
roblox_2021.txt,45,0.504862998461859,0.5089759196287108,0.5501431013184402,0.4398670868138938,0.6,0.0,mixed
heroku_2020_git_push.txt,9,0.5029310350806967,0.5096613264239241,0.5301589837111632,0.4710755954819297,0.6666666666666666,0.0,mixed
stack_exchange_2014.txt,5,0.5018409251911932,0.4997563365450195,0.5393848717245914,0.4417480726162255,0.4,0.0,mixed
atlassian_2022_april_outage.txt,68,0.5017981212251482,0.5011265253959474,0.5647687611282286,0.43208136641919603,0.5147058823529411,0.0,mixed
gitlab_database_2017.txt,35,0.5008986363067516,0.4992631383127538,0.5581874043180303,0.45022774977684693,0.4857142857142857,0.0,mixed
mozilla_firefox_2022.txt,13,0.49172462758464724,0.48987083718737134,0.5518238698705067,0.42853198706719,0.3076923076923077,0.0,mixed
aws_s3_2008.txt,7,0.4917049493158278,0.5030078340746631,0.5254331813931854,0.43985108211275936,0.7142857142857143,0.0,mixed
eve_boot_ini_2007.txt,10,0.48299145794637965,0.4781744975718111,0.5261041656904236,0.44509384140299696,0.3,0.0,mixed
cloudflare_2019.txt,40,0.48119830801562247,0.4804302153908744,0.5643787792100929,0.4242737822491222,0.3,0.0,mixed
discord_connectivity_2017.txt,10,0.47772070277598677,0.47546341537455383,0.5035754237842015,0.44967608074635407,0.2,0.0,mixed
azure_storage_2014.txt,11,0.4750315817148833,0.4814714187356537,0.5049803994467171,0.42192028233695006,0.18181818181818182,0.0,mixed
lkml_leapsecond_futex_2012.txt,5,0.46229800075967803,0.4592290794775369,0.4817785674052647,0.45114006262284373,0.0,0.0,mixed
github_ddos_2018.txt,7,0.46136296616346417,0.44237898796562997,0.5107584098227717,0.42569140126795374,0.2857142857142857,0.0,mixed
