label,n,outlier_excluded,r2,mae,rmse,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept
All matched postmortems,15,,0.009292318994771787,0.168949721660432,0.19591060853690354,-0.09639667522675044,0.7325383700721966,-0.12613124477737825,0.6542104133649462,-0.8851924039090696,1.231664964216403
Excluding lkml_leapsecond_futex_2012,14,lkml_leapsecond_futex_2012,0.16699993535037294,0.13631204687289505,0.15442320265873904,-0.4086562557338048,0.14685091507705963,-0.36224458368918316,0.20309035758495933,-3.381876958151084,2.5004676098426644
