term,high_drift_tfidf,low_drift_tfidf,high_minus_low
gh,0.14092964157792248,0.07918436642216316,0.061745275155759324
preview,0.033285809193175926,0.0,0.033285809193175926
pr,0.05183803345421828,0.022701264908260185,0.029136768545958095
number,0.04598314486776213,0.0195116094542099,0.026471535413552228
prs,0.04588995649366816,0.021179103023091637,0.02471085347057652
title,0.029737780260041615,0.0066395712463615765,0.023098209013680038
issue number,0.040031798374170244,0.017397369671816598,0.022634428702353646
feature,0.026521487536244868,0.004008388299052437,0.02251309923719243
readthedocs preview,0.02219053946211729,0.0,0.02219053946211729
previews,0.02219053946211729,0.0,0.02219053946211729
readthedocs preview cpython,0.02219053946211729,0.0,0.02219053946211729
readthedocs,0.02219053946211729,0.0,0.02219053946211729
preview cpython,0.02219053946211729,0.0,0.02219053946211729
preview cpython previews,0.02219053946211729,0.0,0.02219053946211729
cpython previews,0.02219053946211729,0.0,0.02219053946211729
gh gh,0.04964567367076675,0.02866526017747195,0.0209804134932948
linked prs,0.03955840472462368,0.01988756198797052,0.01967084273665316
linked,0.03786299578607546,0.018975110412199514,0.018887885373875944
api,0.02553350485887389,0.008017382569014658,0.017516122289859232
documentation,0.021654601234236296,0.004362441337162663,0.017292159897073632
refers,0.02078137648978375,0.004426380830907718,0.01635499565887603
backport,0.020492011467647134,0.004426380830907718,0.016065630636739416
add,0.026470628467791336,0.010591467769636294,0.015879160698155044
gh issue,0.03861923901849511,0.022836037125664985,0.015783201892830123
cpython,0.02584581953890778,0.010099796074092053,0.015746023464815725
workspace,0.015626785259697646,0.0,0.015626785259697646
kind,0.029633508061065846,0.014026838400609044,0.015606669660456802
issue,0.05223723214996026,0.036846462211200665,0.015390769938759596
pull request title,0.01986105121831964,0.004509367136445444,0.015351684081874198
title following format,0.01986105121831964,0.004509367136445444,0.015351684081874198
title following,0.01986105121831964,0.004509367136445444,0.015351684081874198
request title,0.01986105121831964,0.004509367136445444,0.015351684081874198
format,0.019129376165514238,0.0045042371253176195,0.01462513904019662
deprecated,0.014620542864322088,0.0,0.014620542864322088
following format,0.019183687479688172,0.004572970379579507,0.014610717100108667
nnnnnn refers,0.018872420640604334,0.004597098029277205,0.01427532261132713
nnnnnn,0.018872420640604334,0.004597098029277205,0.01427532261132713
gh nnnnnn refers,0.018872420640604334,0.004597098029277205,0.01427532261132713
gh nnnnnn,0.018872420640604334,0.004597098029277205,0.01427532261132713
following,0.02239528293310011,0.008197607758102755,0.014197675174997355
lint,0.013122177444792407,0.0,0.013122177444792407
gh linked,0.02637226981641579,0.013258374658647015,0.013113895157768774
linked prs gh,0.02637226981641579,0.013258374658647015,0.013113895157768774
gh linked prs,0.02637226981641579,0.013258374658647015,0.013113895157768774
prs gh,0.02637226981641579,0.013258374658647015,0.013113895157768774
remove,0.016879224691426033,0.0040937116948659615,0.012785512996560071
need,0.019874997948307396,0.007256803563563941,0.012618194384743455
pull,0.02412210713563724,0.01165577714049241,0.012466329995144831
int,0.012934814393346792,0.0011271986499289874,0.011807615743417805
contribution,0.022160152466723582,0.010363726167774069,0.011796426298949513
